sample_id,ct_dataset,subpop,SL,PC1,max_number_rings
D29A01,Y,benthic,94.23,0.059635861,82
D29A02,Y,benthic,88.8,0.057803554,114
D29A03,Y,benthic,88.49,0.055513338,105
D29A04,Y,benthic,78.5,0.056449367,90
D29A05,Y,benthic,98.24,0.054597034,115
D29A07,Y,benthic,53.7,0.05306983,60
D29A08,Y,benthic,86.07,0.062508762,107
D29A09,Y,benthic,96.01,0.061289209,106
D29A10,Y,middle,87.3,0.02349171,75
D29B01,Y,benthic,76.86,0.05772343,95
D29B02,Y,benthic,85.74,0.047375289,79
D29B03,Y,benthic,77.48,0.056147214,62
D29B04,Y,benthic,84.81,0.059461071,87
D29B05,Y,benthic,86.7,0.062444598,78
D29B06,Y,benthic,91.96,0.060715258,86
D29B07,Y,benthic,66.69,0.051014306,87
D29B08,Y,benthic,62.87,0.064473012,68
D29B10,Y,benthic,83.07,0.06120099,93
D29C01,Y,benthic,79.66,0.061939211,103
D29C04,Y,benthic,81.79,0.057358863,93
D29C05,Y,benthic,85.68,0.04968219,76
D29C07,Y,benthic,92.15,0.055745169,93
D29C08,Y,benthic,93.65,0.047155825,108
D29C09,Y,benthic,90.16,0.053246068,87
D29C10,Y,benthic,95.91,0.049935597,108
D29D01,Y,benthic,90.33,0.049834029,102
D29D02,Y,benthic,92.03,0.062254744,76
D29D03,Y,benthic,82.3,0.059335765,88
D29D04,Y,benthic,89.73,0.056960847,95
D29D06,Y,benthic,90.28,0.051182247,90
D29D07,Y,benthic,89.84,0.055167226,83
D29D08,Y,benthic,86.98,0.053937803,95
D29D09,Y,benthic,89.24,0.055856066,98
D29D10,Y,benthic,85.69,0.053485848,111
D29E01,Y,benthic,87.36,0.056673172,90
D29E02,Y,benthic,89.78,0.057313132,80
D29E03,Y,NA,NA,NA,NA
D29E04,Y,benthic,89.4,0.052338463,108
D29E05,Y,benthic,85.14,0.052571631,98
D29E06,Y,NA,NA,NA,NA
D29E07,Y,benthic,93.61,0.054731233,95
D29E08,Y,benthic,84.3,0.060838235,81
D29E09,Y,benthic,96.2,0.059576966,96
D29E10,Y,benthic,83.03,0.054456319,88
D29F01,Y,benthic,75.03,0.060081895,86
D29F02,Y,benthic,98.32,0.055099723,78
D29F03,Y,benthic,87.9,0.048229919,83
D29F04,Y,benthic,96.15,0.058749445,124
D29F05,Y,benthic,94.5,0.058206292,85
D29F06,Y,benthic,84.59,0.058008517,97
D29F07,Y,NA,NA,NA,NA
D29F08,Y,benthic,81.16,0.051400731,75
D29F09,Y,benthic,90.22,0.058046249,109
D29F10,Y,benthic,93.19,0.055387693,106
D29G01,Y,benthic,81.53,0.051759953,75
D29G03,Y,benthic,79.01,0.049260607,88
D29G04,Y,benthic,73.2,0.057267601,84
D29G05,Y,benthic,91.71,0.060419154,136
D29G06,Y,benthic,78.17,0.059934543,79
D29G10,Y,benthic,85.84,0.04924517,103
D29H01,Y,NA,NA,NA,NA
D29H05,Y,middle,94.3,-0.019454651,101
D29H06,Y,NA,NA,NA,NA
D29H07,Y,middle,88.99,-0.018260565,89
D29H08,Y,middle,90.4,-0.0176911,64
D29H09,Y,middle,71.11,0.005796809,47
D29I01,Y,NA,NA,NA,NA
D29I03,Y,littoral,53.92,-0.031145195,41
D29J02,Y,NA,NA,NA,NA
D29J03,Y,littoral,94.4,-0.028184129,101
D29J04,Y,middle,71.2,-0.002230105,76
D29J05,Y,littoral,99,-0.050674284,90
D29J06,Y,NA,NA,NA,NA
D30A07,Y,littoral,51.7,-0.046215972,53
D30A09,Y,littoral,48.6,-0.040493626,50
D30B01,Y,littoral,54.32,-0.043611905,48
D30B03,Y,littoral,80.6,-0.038400507,42
D30B04,Y,littoral,82,-0.036498146,85
D30B05,Y,littoral,95.2,-0.041063329,73
D30B06,Y,middle,82.9,0.000373735,72
D30B07,Y,littoral,67.56,-0.038316976,54
