sample_id,ct_dataset,pore1_left_areas,pore2_left_areas,pore3_left_areas,pore4_left_areas,pore5_left_areas,pore6_left_areas,pore7_left_areas,pore8_left_areas,pore9_left_areas,pore10_left_areas,pore1_right_areas,pore2_right_areas,pore3_right_areas,pore4_right_areas,pore5_right_areas,pore6_right_areas,pore7_right_areas,pore8_right_areas,pore9_right_areas,pore10_right_areas,pore1_ioc_l_areas,pore2_ioc_l_areas,pore3_ioc_l_areas,pore1_ioc_r_areas,pore2_ioc_r_areas,pore3_ioc_r_areas,pore1_lateral_areas,pore2_lateral_areas,pore3_lateral_areas,pore4_lateral_areas,pore5_lateral_areas,mean_mandibular_left_pore_area,mean_mandibular_right_pore_area,mean_mandibular_pore_area,mean_preopercular_left_pore_area,mean_preopercular_right_pore_area,mean_preopercular_pore_area,mean_orbital_left_area,mean_orbital_right_area,mean_orbital_pore_area,mean_otic_pore_area,sequencing_sample_id,subset_vcf_number,seq_depth,colour,Morph,Sex,Sex_Value,collection,Site,Depth,Depth_Cat,SL,BD,HL,HW,IOW,SNL,LJL,PPL,CHD,ED,LAD,DFB,AFB,PRD,PRA,PRP,PRV,CPL,CPD,EggspotNumber,EggspotNumberTheis,FirstSpot,EggspotContrast,PC1,PC2,PC3,PC4,PC5,subpop,Notes,max_number_rings.y,batch,standard_length_fitness,standardised_max_rings,LPG,LPW,LogLPG,ResLPG,T1W,T2W,T3W,T4W,TWA,carbon_content,d13CV.PDB_percent,morpho_PC1,morpho_PC2,morpho_PC3,morpho_PC4,morpho_PC5,morpho_PC6,morpho_PC7,morpho_PC8,morpho_PC9,morpho_PC10,morpho_PC11,morpho_PC12
D29A01,Y,0.042517338,0.074867487,0.205746945,0.154171565,0.337365835,0.336811261,0.596721598,0.202234643,0.150659263,0.139752642,0.043441628,0.065070013,0.107772209,0.21998101,0.339214415,0.23754252,0.55882571,0.167296483,0.141970938,0.119787979,0.194655466,0.27710213,0.237912236,0.272392345,0.247629405,0.244534037,0.32904495,0.169429739,0.154966225,0.209204403,0.264992244,0.162933834,0.155095855,0.159014845,0.272342037,0.246970277,0.259656157,0.23655661,0.254851929,0.24570427,0.182085314,cichl187579992,313,18.7,Blue,Benthic,Male,1,2018,NA,1,Deep,94.23,33.51,33.83,14.04,8.04,10.88,14.4,8.86,8.91,9.19,6.62,50.33,18.14,33.3,59.96,32.86,36.75,16.87,10.34,8,7.5,2,0.36651852,0.059635861,0.034313761,0.015750939,0.000306798,0.024182282,benthic,,82,Giulia_2,94.55,0.257523355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A02,Y,0.019181581,0.07385805,0.399048592,0.20920472,0.285931044,0.262805587,0.685875972,0.266928731,0.340069712,0.155783121,0.043203374,0.046430182,0.334512432,0.261192183,0.238066725,0.202213303,0.693942992,0.395642517,0.326624679,0.161340401,0.288921348,0.327838749,0.321920435,0.264351376,0.445846351,0.303986149,0.386112101,0.149624715,0.21790982,0.324856345,0.178746304,0.197444798,0.184680979,0.191062889,0.362164384,0.394387648,0.378276016,0.312893511,0.338061292,0.325477401,0.271383083,cichl187579993,314,13.7,Blue,Benthic,Male,1,2018,NA,1,Deep,88.8,30.93,34.52,13.85,6.75,11.55,13.48,9.18,8.27,8.5,6.86,46.93,16.76,33.21,57.74,34.12,36.81,16.52,10.11,4,3.5,4,0.168961562,0.057803554,0.024370458,0.02560395,0.011063644,0.016742321,benthic,,114,Giulia_2,86.91,1.684396079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A03,Y,0.016255411,0.091843074,0.191001082,0.197706439,0.234281114,0.198316017,0.564672348,0.302757034,0.143250812,0.217212933,0.026008658,0.073758929,0.105863366,0.156051948,0.248910985,0.221683171,0.520376352,0.23854816,0.135529491,0.13390395,0.230059711,0.359315874,0.190429284,0.279796266,0.404150162,0.20542776,0.400327664,0.17422711,0.14885423,0.271771738,0.244143491,0.146217424,0.122118777,0.134168101,0.306973282,0.257089488,0.282031385,0.259934956,0.296458062,0.278196509,0.210312984,cichl187579994,315,14.2,Blue,Benthic,Male,1,2018,NA,1,Deep,88.49,32.94,34.09,13.41,7.6,11.65,14.68,9.87,8.47,8.36,6.53,45.09,17.91,31.89,55.4,33.32,34.31,17.04,10.49,7,6,4,0.544589361,0.055513338,0.013388295,-0.015391052,-0.002692611,0.022442676,benthic,,105,Giulia_2,89.12,1.283088125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A04,Y,0.034070497,0.087256883,0.135111627,0.287388543,0.249546884,0.165801082,0.475296436,0.2820569,0.258389608,0.111314295,0.030169295,0.078024039,0.191418975,0.174773847,0.233551956,0.144344472,0.477897237,0.24239468,0.16229,0.159819239,0.202317411,0.224071972,0.170709315,0.204006497,0.248032993,0.137966753,0.285931266,0.169239419,0.131187729,0.364571424,0.25114115,0.158674887,0.141587622,0.150131254,0.28176431,0.260600289,0.2711823,0.199032899,0.196668747,0.197850823,0.247879577,cichl187579995,316,13.9,Blue,Benthic,Male,1,2018,NA,1,Deep,78.5,25.3,27.6,11.9,5.5,9.3,11.5,8.2,6.9,7.4,6,39.8,14,28.2,51.3,27.7,34.3,15.5,9.1,7,6.5,3,0.349242049,0.056449367,0.030540844,-0.001067703,0.001571053,-0.027879337,benthic,,90,Giulia_2,77.9,0.614241536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A05,Y,0.011807783,0.128238019,0.16997716,0.402563032,0.2831122,0.304256371,1.031670744,0.479450923,0.397345639,0.13455381,0.018398174,0.159542375,0.182059543,0.473684332,0.423432602,0.309748363,1.031945344,0.573363991,0.254279241,0.182608742,0.304857598,0.24608325,0.194999004,0.496286197,0.420758414,0.184287791,0.171971743,0.258239535,0.150545755,0.4116045,0.34507117,0.199139639,0.251423405,0.225281522,0.510755279,0.51054933,0.510652304,0.248646617,0.367110801,0.307878709,0.281075128,cichl187579996,317,12.3,Blue,Benthic,Male,1,2018,NA,1,Deep,98.24,31.65,35.76,15.35,8.69,13.18,16.38,10.02,10.03,9.36,7.74,49.91,19.11,36.63,65.25,37.58,44.21,17.36,12.35,5,4.5,4,0.487066193,0.054597034,0.041196485,0.033245295,-0.041206627,0.014025666,benthic,,115,Giulia_2,98.73,1.728985852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A07,Y,0.020286696,0.077802822,0.090361252,0.137028083,0.109384674,0.08032937,0.282155983,0.127590683,0.040647702,0.050308033,0.016719804,0.075127653,0.099427102,0.131752056,0.158503743,0.072080933,0.350447094,0.097866587,0.071412141,0.054840957,0.098907734,0.123707824,0.078131257,0.122025222,0.129706666,0.092908892,0.093062712,0.105799772,0.068615774,0.119564014,0.082996326,0.086972705,0.096306072,0.091639389,0.1251756,0.143641695,0.134408648,0.100248938,0.11488026,0.107564599,0.094089894,cichl187579998,319,17.8,unassigned,NA,Male,2,2018,NA,1,Deep,53.7,16.89,20.77,8.51,3.65,7.05,7.62,5.67,4.05,5.34,3.49,26.96,10.23,21.23,32.96,21.26,21.14,9.07,5.77,NA,NA,NA,NA,0.05306983,0.008235708,-0.009660206,0.01912226,0.003008143,benthic,,60,Giulia_2,54.89,-0.723451643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A08,Y,0.0279446,0.077733219,0.091311934,0.146413963,0.257798778,0.289679238,0.364854149,0.316246288,0.185182176,0.124176358,0.019679296,0.061596197,0.102529132,0.140116588,0.19876089,0.164715708,0.426056759,0.22670549,0.262521809,0.179081594,0.200379961,0.263773621,0.256574341,0.268676554,0.252536278,0.228522696,0.338824992,0.243581779,0.145054318,0.350319862,0.293392884,0.120240499,0.104536421,0.11238846,0.247614743,0.273591413,0.260603078,0.240242641,0.249911843,0.245077242,0.24768709,cichl187579999,320,13.8,Blue,Benthic,Male,1,2018,NA,1,Deep,86.07,29.64,32.76,13.28,6.96,11.11,12.57,9.31,7.59,8.26,6.23,45.66,16.82,32.5,54.23,32.29,34.94,14.59,9.71,7,6.5,2,0.420046742,0.062508762,0.047802336,0.00857595,0.011269836,0.010679609,benthic,,107,Giulia_2,90,1.372267671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A09,Y,0.040093324,0.097499675,0.11268654,0.207756316,0.416120107,0.215349749,0.694039741,0.281564481,0.285513066,0.140326635,0.049812918,0.102055734,0.24450853,0.360839918,0.29857377,0.278830846,0.637240865,0.253316912,0.279134583,0.198036723,0.202437572,0.275806219,0.260833026,0.233573987,0.347171739,0.267592565,0.282758443,0.25040896,0.216262284,0.509204823,0.614640175,0.174831192,0.211158174,0.192994683,0.350360981,0.341932271,0.346146626,0.246358939,0.28277943,0.264569185,0.362733554,cichl187580000,321,12.8,Blue,Benthic,Male,1,2018,NA,1,Deep,96.01,33.46,36.42,15.07,8.37,12.79,15.93,10.52,9.08,9.65,6.74,47.77,19.16,36.27,60.37,36.98,38.31,18.46,10.78,6,5.5,3,0.452381031,0.061289209,0.028106705,0.011199132,-0.003202052,0.005877041,benthic,,106,Giulia_2,105.32,1.327677898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29A10,Y,0.074911866,0.133111497,0.202892413,0.233238316,0.344213429,0.136190066,0.542854484,0.262558029,0.275312104,0.09294349,0.052628885,0.141760812,0.170787328,0.181342424,0.313867527,0.136336665,0.657054766,0.309616168,0.261238642,0.079603021,0.173112683,0.239514076,0.115066432,0.284694412,0.319438272,0.179290044,0.199177698,0.120812702,0.127343118,0.493862735,0.284889412,0.197673504,0.172077395,0.18487545,0.293417027,0.326878149,0.310147588,0.17589773,0.26114091,0.21851932,0.310602927,cichl187580001,322,13.3,Blue,Benthic,Male,1,2018,NA,1,Deep,87.3,31.7,31.5,13.8,7.1,10.3,11,7.9,8.1,7.7,5.9,46.99,16.27,30.75,56..52,31.23,35.33,16.41,10.85,8,8,2,0.755194505,0.02349171,-0.019730589,-0.007284752,-0.00379661,0.024124125,middle,,75,Giulia_2,90.46,-0.054605054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B01,Y,0.011386611,0.054711278,0.105951029,0.513369533,0.196627335,0.119559418,0.406307615,0.236341613,0.117615362,0.118309668,0.022217778,0.055127862,0.132056918,0.231898058,0.157051918,0.154552418,0.402002921,0.17218778,0.092203779,0.093453529,0.223593223,0.218454745,0.138600022,0.235675589,0.270533912,0.162070367,0.273735497,0.194391875,0.126553078,0.230889941,0.149562728,0.176409157,0.119670507,0.148039832,0.219643565,0.189962002,0.204802783,0.19354933,0.222759956,0.208154643,0.178721509,cichl187580002,323,15.1,Blue,Benthic,Male,1,2018,NA,1,Deep,76.86,27.44,30.82,12.29,6.12,8.74,11.47,6.65,6.91,7.38,5.12,38.54,13.43,27.88,49.74,28.12,30.37,13.6,8.04,4,3.5,3,0.480469788,0.05772343,0.041241501,0.04416643,0.008859566,-0.016124744,benthic,,95,Giulia_2,79.39,0.837190399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
